"ACItf";"BI";"TE";"ESM";"NDSI";"P";"M";"NP";"MID";"BNF";"MD";"FM";"SF";"RMS";"CF";"ADIm1";"ADIm2";"ADIm3";"ADIm5";"ADIm6";"ADIm7";"ADIm8";"ADIm9";"ADIm10";"ADIm11"
0,526465381551004;0,399989849315256;2,2529807449;0,205372079995909;0,743071411719382;0,283080158674406;1,73026835144738;0,250662912758931;0,109687248604943;0,155422174729241;0,135024040535407;0,894905616248233;0,636154127349634;1,66152008363783;0,0860180978918003;0;0;0;0;0,203421210470175;0;1;0;0;0
0,192829595718375;0,466281249349695;2,4851513982;3,92380360654926;0,329252287125016;0,146058777733021;1,6894926528025;0,262885069340837;0,623878461713709;0,0232694053502626;0,526076686965554;9,83918960581992;1,77880323950974;1,60788253477156;0,0162195276444108;41,4342193940337;94,0564590317257;46,5460174302603;6,94942220587638;4,40169588653402;4,63265058522144;3,1234292004;21,7932816574116;103,096389173588;191,8315220752
0,185103016986929;0,503630608805606;2,4842256124;3,94268336736784;0,464017735966923;0,15817169413192;1,68199814898991;0,302651655437455;0,648323356649239;0,0280428756899107;0,599460420254861;10,9805511146895;1,88503108226451;1,60019752813639;0,0120678359516656;39,240896399403;93,3062550573432;38,7374713282762;5,20598423678801;3,74099248095643;4,651283233271;2,57332401;18,859007957915;81,7940905379237;157,567735740251
0,000672393052348082;0,467960360985015;2,4851443406;5,33379069577531;0,304959628833414;0,15827790513801;1,67665594877373;0,269852684004557;0,60654486985049;0,0258434559733564;0,668363140940364;13,1667550986418;2,06171587586194;1,59503072379681;0,01856286044044;41,2762446123687;99,1790814120413;47,8417088218365;9,7559521856369;4,63164951132317;5,84045817326257;3,0146763165;20,3768970222155;97,3455712586843;189,691270849152
0,192986150093183;0,473538973249665;2,4862076153;4,65934268722664;0,325876619516645;0,146372201390962;1,6813457090668;0,297190209348177;0,649808255957353;0,0220056895621974;0,678982557184904;9,9584641251129;2,0320301114414;1,59950804521932;0,0192699031134283;41,635594059398;81,5861998084658;38,209393044578;6,20303586399007;3,03922459906586;3,74290395671652;2,7946882342;17,3251354018661;80,9098989139777;164,359736168499
0,135695252109071;0,373451745918278;2,4943172545;6,67418440203805;0;0,0578618437188063;1,67494691374356;0,291682832000656;0,66199909555562;0,0104074098706168;0,723711786868631;9,79356786364524;3,11787073531689;1,59317529903376;0,000862822759385908;39,610828329706;107,62772857531;40,6670618439651;4,6769692609283;4,54649250199773;3,77938023326193;2,8431099737;25,8609538868763;113,122742364095;217,461615537279
0,198176231502461;0,430516354487627;2,4941700008;6,01133121367877;0,256324830068449;0,0755701468582242;1,6783161090403;0,309923741201372;0,67943967251017;0,00825876558338541;0,721848100725001;8,74208488455142;2,83446584662527;1,5964859397932;0,00804190275432625;41,257968704664;89,123470537542;28,6000537766091;3,09979720179741;3,0192284920133;2,68966479248622;3,0862779337;25,6839468891717;116,174291589072;220,730436759758
0,153489459304233;0,45578558371414;2,4936517427;5,79276891546196;0,271894799534211;0,0782575523901339;1,67792770226305;0,281864562104586;0,647738774713988;0,010608825443347;0,713278502007957;9,67787566538557;2,82366146823541;1,59612814590065;0,00684322161540212;40,3156821157564;109,622711329113;49,1437421013449;5,22179704123479;3,96765873345264;3,03245342742035;3,340963721;29,7808627371932;128,678692272586;202,078085346643
0,20548795876153;0,448219905631434;2,4932786417;4,1181274721219;0,349056343388736;0,0839278391640214;1,67729359632685;0,301736151022043;0,625919936021744;0,00988185054854438;0,707662648532768;8,67553689723995;2,9504983442499;1,59547561755691;0;42,2468004953551;108,041694765582;52,0700706326781;6,41083480127127;4,84462452320834;4,06684184133612;3,1566561629;22,0024528499499;84,8841866819181;142,960439467989
0,0855094045512895;0,430008565378974;2,4953074152;6,65468743146963;0,272540556077387;0,0708267762515003;1,68026221621611;0,300456860811193;0,608299989084663;0,00970791335807065;0,7104942015536;11,4990355894809;2,90365263245736;1,59825044382912;0,00433294796880361;39,8669043738324;98,1133246516147;52,3632123708783;10,0546873342574;4,5504131236744;4,35975463681866;3,2813891072;21,2916818332729;98,9517818015824;202,490771977936
