"ADI"
1.0840288828
1.373975956
1.2460608508
1.4173191041
1.3164360621
1.7725037543
1.7476039708
1.817732323
1.1363966335
1.6045458367
0.2136935051
0.2895467493
1.1966972365
2.2232991016
2.0856689356
1.278373393
1.1270151309
1.1260030895
1.2914768139
1.4020007554
1.0217274535
1.1239281703
1.0684545796
1.1517372856
1.0785051821
0.85724621
1.1170367958
1.0888174519
0.7866788946
0.6559472408
0.5026464476
0.1578111104
0.6135834161
0
0.3270233542
1.0217213447
1.1683168249
1.4475932894
1.5271081958
0.7120686596
1.6468082086
1.6220333662
1.6478156412
1.748451453
1.7127873237
1.7433638412
1.8556588681
1.6935015104
