"ACIft","ADI","ACItf","BI","TE","ESM","NDSI","P","M","NP","MID","BNF","MD","FM","SF","RMS","CF","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","ADIm10"
0.654152808596801,0.487576719644035,0.180076571304542,0,0.583113779739548,0.382021999364542,0.168566467590391,0,0.0172784566415465,0.179041349910352,0,0.50923133291587,0,0.771134280900523,0.402997142222391,0.018006362895058,0.0803669906746749,0.591929414109663,0.80708896901839,0.888086220701475,0.752622352460126,0.899745683056495,0.729781351649041,0.725639880833642,0.571142705920895,0.420288448915836,0.50139124248929
0.576954604297118,0.617989705007997,0.130849782759797,0.185711588171854,0.691759593084168,0.299173769467949,0.510616605420418,0.0185651281495591,0,0.312927848680074,0.155991139927677,0.458988907078235,0.050293501824647,0.795247920427369,0.839705208942454,0.00712419760281309,0.169398583328211,0.699159092024324,0.843331808375089,0.856197860621544,0.676064120893268,0.87385775263427,0.699273531149647,0.764082224606789,0.696345542076114,0.499784728660428,0.494826141454808
0.556191522662658,0.560455788372042,0.18956271175333,0.277816284716143,0.686499827647343,0.461339048466869,0.540163652091524,0.025430706192906,0.00517576062321646,0.221289612862562,0.146298040825298,0.479446296311873,0.0580211309067826,0.7201292399407,0.724551174818793,0.00658344610197958,0.0570359718030005,0.729171747211541,0.828216849819384,0.945243191035927,0.726632108028308,1,0.691878403949154,0.731988499530085,0.761314764208878,0.592058113669032,0.589889795661058
0.620519535357529,0.637484674482869,0.262319153552694,0.287458421922565,0.706743351233866,0.424374681792598,0.594552323521248,0.0442038599108111,0.00421289098278548,0.303565921365607,0.119350382801832,0.466114331101871,0.0633173930215064,0.661120467252962,0.804430420960463,0.00531179630301899,0.116809069372229,0.766334272750167,0.843255106375905,0.891290563219926,0.737911373919221,0.759075224172389,0.598786489931451,0.693600520579102,0.658957662125333,0.525995063062463,0.589696243511643
0.574653043169265,0.592109294298325,0.264093373554561,0.276616002396411,0.703840555142897,0.287728708033312,0.588171937211608,0.03904119238064,0.00970812693391503,0.385904456964889,0.138874299293778,0.478551657132499,0.0450070256758578,0.674342203994217,0.715991603824131,0.0104845318851,0.175315570146981,0.767444045106105,0.815496847321652,0.881778425155967,0.753717687629694,0.778372007566285,0.591491398926136,0.650190154861564,0.63200988247653,0.475115341278875,0.548349542323291
0.608944152275812,0.797240350192925,0.295807019511075,0.444721911562288,0.678925798088264,0.383313604200267,0.653290707784241,0.0433692930139559,0.00622053105236884,0.270701466210083,0.107929261771107,0.504461531204982,0.0250519908372413,0.705527223712543,0.670006011193039,0.00629651912056641,0.0303219239163547,0.734775097091746,0.711473890906474,0.857595516561091,0.661442804870425,0.664101287632952,0.548073721969251,0.62806799090967,0.650753415010862,0.55314742570139,0.618821604484169
0.502144751262753,0.786040874831423,0.316405706492691,0.263241330224092,0.741988431318832,0.497258569817419,0.534141161809357,0.0407331759535308,0.000235091943245805,0.158708617972872,0.139522187730205,0.434194880218379,0.107282116802666,0.670788467181204,0.819520861715303,0,0.0556520729178703,0.678360680633024,0.735763503705691,0.828755084835366,0.553165266492271,0.755034925599912,0.681989387212282,0.753477918537798,0.805090861238138,0.623963233076807,0.725878592572745
0.372562759506968,0.817583347941832,0.350251565898031,0.0921589278863941,0.759660091863797,0.499788545962117,0.402184384200099,0.0307761056219035,0.00164923121021446,0.214011803846926,0.130933296142405,0.398527225000734,0.138179470880407,0.556361302030247,0.772188565744263,0.00199389764496682,0.0309237541659936,0.615077633558074,0.678236495587937,0.830937805866525,0.585403559258832,0.58564554373285,0.55176008437305,0.757147440717022,0.765075596098218,0.596686290530915,0.687642262338335
0.446223182015295,0.511130793285775,0.157519297082326,0.138818608290588,0.735912404958323,0.428068110136879,0.477412596551707,0.0430936473647536,0.00386619513160527,0.197725322570395,0.0895957938689646,0.437150976317768,0.129904987957536,0.754962322586849,0.716858847610656,0.00518043571932359,0.0421813009457261,0.701252783920254,0.757090898647901,0.845617944339251,0.672004142316409,0.811640672987586,0.687169588965681,0.893977745702476,0.805914344853871,0.591708519407552,0.645171280307646
0.466394919014979,0.721695895789194,0.307324603894188,0.144151757897856,0.743392357071693,0.473199590756471,0.51380340244409,0.0362937670811957,0.00237746337138069,0.190865779212347,0.171942104729484,0.443561813403692,0.10353076967214,0.642169561203656,0.857894555798557,0.000925735251507746,0.0684736875219564,0.669736473881596,0.660575461370535,0.806278830497125,0.670006098221379,0.700114371390694,0.6443523814808,0.741054125094019,0.746380951317173,0.587503751275362,0.645927594875754
