"ADI","ACItf","BI","TE","ESM","NDSI","P","M","NP","MID","BNF","MD","FM","SF","RMS","CF","ADIm1","ADIm2","ADIm3","ADIm4","ADIm5","ADIm6","ADIm7","ADIm8","ADIm9","ADIm10","ADIm11"
0.2756624853263,-1.43992444514827,-1.13990828246699,-0.48556597017148,-1.09380856534235,-0.903841625747032,-1.62635576517264,-2.24493528235377,-1.80084239861797,-1.7225025348163,-1.52470278136282,-1.70133820341105,-0.643162240186706,-0.826482248451209,-2.20455342817332,-1.55271034508873,-0.818969949683484,-1.05386747337161,-0.757160132145845,-1.16509735978123,-0.574917654762657,-1.00893758627788,-0.973529621193973,-1.4879605040856,-1.68330653447248,-1.12468848266511,-0.597356661320931
-0.119331790872057,-1.56941110376082,-1.59463140343561,-0.406440376008222,-0.597377920120617,-1.23337966548742,-1.64416932740644,-2.24641899612606,-1.94778540180819,-1.76403947089965,-1.5390373581362,-1.57663858091458,-0.576891183921772,-0.377600160316085,-2.20723532864185,-1.54825910209998,-0.565922286443339,-0.863094758354145,-0.552140622817234,-1.12955123685332,-0.324203964406507,-0.816580157389686,-0.5746799737212,-0.621035413010954,-0.986725367904632,-0.826009484129967,-0.628713423832087
-0.319456434063898,-1.51120274577382,-0.460688472098135,-0.100314811853756,-0.183577181876151,-2.55211791972386,-1.88271647414535,-0.836044829817749,-1.23577523589859,-0.252094997465905,-1.6474293202813,-0.958031626755237,-0.554513794412686,-1.31645094124193,-0.91045152443258,-1.57765188963375,-0.463777292817929,-0.61920975842624,-1.48679611661239,-2.24240537938441,-1.20825632730278,-1.14415250527482,-1.33748288506992,-1.66041825138,-0.744841959613386,-0.607868285115068,-0.219450036395412
0.11731189083564,-1.29083330097064,-0.216924822749787,-0.107168801081627,-0.16794494408937,-1.58032961978103,-1.67330320150885,-0.841406545393302,-1.4195157014736,-0.90454883976666,-1.65004118658883,-0.612318371400301,-0.759985913572105,-1.18500473370329,-0.914770169152874,-1.5772168911017,0.06751264216959,-0.376437516153388,-0.904115883653281,-1.88575521322523,-2.11873255063153,-1.82193399448383,-1.90122831356373,-1.63165431091154,-0.744181420767025,-0.286532019177947,-0.316401073430151
-0.51486702984859,-1.70719059179205,-0.301526023805077,-0.093718554306971,-0.406418965472942,-1.38185071917053,-1.84510516188894,-0.834374684765729,-1.70574199814753,-0.965436391652779,-1.66501038045465,-0.626109028670199,-0.261329272671246,-0.974779260899337,-0.908987732539814,-1.56892773339106,-0.0256370438592139,-0.26443719696832,-0.814364009335587,-1.46718305154027,-0.951079188037715,-0.810763198119441,-0.352442759238303,-0.759538155873703,-0.228626947017176,-0.25914707206222,-0.341872600740147
-0.875860264713801,-1.73459819174061,-0.852215819554834,-0.092090305225947,-0.304622225271035,-1.96732319779885,-1.87830821183275,-0.835351278938308,-1.78778117496027,-0.736233774608454,-1.66908998567521,-0.721342855908242,-0.210784610015124,-0.704741253003208,-0.909593369882906,-1.5652185677179,-0.033366326445602,-0.132174162203708,-0.287169463886618,-1.21187240285286,-0.638707468208784,-0.595098177822034,-0.185393661772127,-0.360709261038837,0.06402021665377,-0.05871550752337,-0.478157185582751
-0.875045656890631,-1.74497734678398,-1.4106128951509,-0.978186457163388,-0.114490865371898,-2.32233679043333,-1.39962921380125,-2.15436650778307,-1.95309259831167,-1.23437010642493,-1.50276111710774,-1.32561222639597,-0.321964479987871,-1.44722149878022,-2.08033245784875,-1.38420911408132,-1.49277409764527,-1.24613077200674,-1.66850580793499,-1.41632128872902,-1.84421654995442,-2.37692003169516,-1.67958968458426,-0.797936398081654,-0.759407526232227,-0.794655187360029,-0.495481459309694
-1.42076173220084,-1.80705036297183,-0.827717189687891,-1.35994888840115,-0.484603108228856,-1.86557779747417,-1.25618906461859,-2.09525148593955,-1.7445783109803,-0.937297784832892,-1.42245297816363,-1.73288892253326,-0.172787855467309,-1.57548612955438,-1.99680407251248,-1.36177142852894,-2.27425627945622,-1.98250118177668,-2.26033899099843,-1.88787370118992,-1.72770575733806,-2.16704138111808,-2.60313990678016,-1.59365923333386,-1.3012487975336,-1.30025534102356,-1.12892527878816
0.15818084759637,-1.51497397096751,-0.478867727004856,-0.22455405783865,-0.504743671347942,0.06315949822787,-0.549368105475242,-0.849444811891798,-1.81459195114215,-1.47342331444875,-1.47834421605686,-1.75884049877804,-0.66982383517493,-0.874333063335198,-0.923797357038779,-1.53362765207575,-0.463855642638088,-1.00077494082743,-1.55625797643365,-2.00495754521941,-1.09693989564971,-0.140540753201382,0.0459116562912101,-1.19237018802207,-0.389542246996063,-0.157372293587094,-0.311203320587423
0.38116601229714,-1.4359196800995,-0.156853609314828,-0.20100389406814,-0.648642227620587,0.10254956298523,-0.670510940028694,-0.856022153489907,-1.96290882239567,-1.51671257313443,-1.51425150507396,-1.73122637975399,-0.603926779653294,-0.863406160588364,-0.925324164438116,-1.52484720153472,-0.393981008239714,-1.14620861418722,-2.89992191888078,-3.99801058617784,-2.30118126518016,-0.496546765763797,-0.379418066983444,-0.986341148765357,-0.650295624264898,-0.415248938536753,-0.679854840688691
