;Lugar;Grabadora;Transformación;Permanencia;Longitud;ACIft;ADI;ACItf;BI;TE;ESM;NDSI;P;M;NP;MID;BNF;BNT;MD;FM;SF;RMS;CF;ADIm1;ADIm2;ADIm3;ADIm4;ADIm5;ADIm6;ADIm7;ADIm8;ADIm9;ADIm10;ADIm11
20160121;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.435058121597926;1.2756624853263;-0.439924445148266;-0.139908282466986;0.51443402982852;-0.0938085653423548;0.096158374252968;-0.62635576517264;-1.24493528235377;-0.800842398617972;-0.722502534816305;-0.524702781362816;-0.998146430287809;-0.701338203411055;0.356837759813294;0.173517751548791;-1.20455342817332;-0.552710345088735;0.181030050316516;-0.0538674733716089;0.242839867854155;-0.165097359781231;0.425082345237343;-0.00893758627787535;0.0264703788060271;-0.487960504085605;-0.683306534472484;-0.124688482665113;0.402643338679069
20160122;Guajira;5067;Alta;Baja;73º26'3.2''W;-0.570660895254573;0.880668209127943;-0.569411103760825;-0.594631403435612;0.593559623991778;0.402622079879383;-0.233379665487424;-0.644169327406439;-1.24641899612606;-0.947785401808186;-0.76403947089965;-0.539037358136196;-0.998146430287809;-0.576638580914576;0.423108816078228;0.622399839683915;-1.20723532864185;-0.548259102099983;0.434077713556661;0.136905241645855;0.447859377182766;-0.129551236853324;0.675796035593493;0.183419842610314;0.4253200262788;0.378964586989046;0.0132746320953681;0.173990515870033;0.371286576167913
20161225;Guajira;5071;Alta;Alta;"73º26'25.7""W";-0.424223466046566;0.680543565936102;-0.511202745773825;0.539311527901865;0.899685188146244;0.816422818123849;-1.55211791972386;-0.882716474145353;0.163955170182251;-0.235775235898586;0.747905002534095;-0.647429320281299;-0.998146430287809;0.041968373244763;0.445486205587314;-0.316450941241931;0.0895484755674202;-0.577651889633751;0.536222707182071;0.38079024157376;-0.486796116612387;-1.24240537938441;-0.208256327302777;-0.144152505274819;-0.337482885069916;-0.66041825138;0.255158040386614;0.392131714884932;0.780549963604588
20151216;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.219151807619827;1.11731189083564;-0.290833300970645;0.783075177250213;0.892831198918373;0.83205505591063;-0.580329619781029;-0.673303201508846;0.158593454606698;-0.419515701473602;0.0954511602333403;-0.650041186588834;-0.998146430287809;0.387681628599699;0.240014086427895;-0.185004733703293;0.0852298308471255;-0.577216891101703;1.06751264216959;0.623562483846612;0.0958841163467195;-0.885755213225231;-1.11873255063153;-0.821933994483827;-0.901228313563729;-0.63165431091154;0.255818579232975;0.713467980822053;0.683598926569849
20160121;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.592418019834131;0.48513297015141;-0.70719059179205;0.698473976194923;0.906281445693029;0.593581034527058;-0.381850719170534;-0.845105161888938;0.165625315234271;-0.705741998147534;0.0345636083472209;-0.665010380454645;-0.998146430287809;0.373890971329801;0.738670727328754;0.0252207391006635;0.0910122674601857;-0.568927733391056;0.974362956140786;0.73556280303168;0.185635990664413;-0.467183051540267;0.0489208119622847;0.189236801880559;0.647557240761697;0.240461844126297;0.771373052982824;0.74085292793778;0.658127399259853
20160122;Guajira;JSC5069;Baja;Baja;73º26'8.4''W;-0.768014049372855;0.124139735286199;-0.734598191740611;0.147784180445166;0.907909694774053;0.695377774728965;-0.967323197798845;-0.878308211832755;0.164648721061692;-0.787781174960265;0.263766225391546;-0.669089985675206;-0.998146430287809;0.278657144091758;0.789215389984876;0.295258746996792;0.0904066301170936;-0.565218567717904;0.966633673554398;0.867825837796292;0.712830536113382;-0.211872402852862;0.361292531791216;0.404901822177966;0.814606338227873;0.639290738961163;1.06402021665377;0.94128449247663;0.521842814417249
20170111;Guajira;302151;Media;Alta;"73º25'51.9""W";-0.344034502734338;0.124954343109369;-0.744977346783984;-0.4106128951509;0.0218135428366118;0.885509134628102;-1.32233679043333;-0.399629213801249;-1.15436650778307;-0.95309259831167;-0.234370106424932;-0.502761117107745;-0.998146430287809;-0.325612226395967;0.678035520012129;-0.447221498780225;-1.08033245784875;-0.384209114081317;-0.492774097645274;-0.246130772006745;-0.668505807934994;-0.416321288729016;-0.844216549954416;-1.37692003169516;-0.67958968458426;0.202063601918346;0.240592473767773;0.205344812639971;0.504518540690306
20170112;Guajira;302151;Media;Alta;"73º25'51.9""W";-0.208305630320278;-0.420761732200837;-0.807050362971826;0.172282810312109;-0.359948888401147;0.515396891771144;-0.865577797474174;-0.256189064618586;-1.09525148593955;-0.744578310980302;0.0627022151671077;-0.422452978163633;-0.998146430287809;-0.732888922533262;0.827212144532691;-0.575486129554381;-0.996804072512479;-0.361771428528942;-1.27425627945622;-0.98250118177668;-1.26033899099843;-0.887873701189923;-0.727705757338062;-1.16704138111808;-1.60313990678016;-0.593659233333855;-0.301248797533597;-0.300255341023559;-0.128925278788165
20151218;Guajira;5072;Media;Alta;73º26'36.9''W;-0.830708613156097;1.15818084759637;-0.514973970967506;0.521132272995144;0.77544594216135;0.495256328652058;1.06315949822787;0.450631894524758;0.150555188108202;-0.814591951142152;-0.473423314448746;-0.47834421605686;-0.998146430287809;-0.758840498778041;0.33017616482507;0.125666936664802;0.0762026429612206;-0.533627652075746;0.536144357361912;-0.000774940827426813;-0.556257976433651;-1.00495754521941;-0.0969398956497058;0.859459246798618;1.04591165629121;-0.19237018802207;0.610457753003937;0.842627706412906;0.688796679412577
20160101;Guajira;5072;Media;Alta;73º26'36.9''W;-0.894779673005822;1.38116601229714;-0.435919680099496;0.843146390685172;0.79899610593186;0.351357772379413;1.10254956298523;0.329489059971306;0.143977846510093;-0.962908822395673;-0.516712573134433;-0.514251505073961;-0.998146430287809;-0.731226379753987;0.396073220346706;0.136593839411636;0.0746758355618837;-0.524847201534723;0.606018991760286;-0.146208614187224;-1.89992191888078;-2.99801058617784;-1.30118126518016;0.503453234236203;0.620581933016556;0.013658851234643;0.349704375735102;0.584751061463247;0.320145159311309
